price,export,update_date
35.0,296.2903748,2021-03-13
35.0,296.2903748,2021-03-14
35.0,296.2903748,2021-03-15
35.0,296.2903748,2021-03-16
37.0,296.2903748,2021-03-17
37.0,296.2903748,2021-03-18
37.0,296.2903748,2021-03-19
37.0,296.2903748,2021-03-20
37.0,296.2903748,2021-03-22
37.0,296.2903748,2021-03-23
37.0,296.2903748,2021-03-24
37.0,296.2903748,2021-03-25
37.0,296.2903748,2021-03-26
37.0,296.2903748,2021-03-28
37.0,296.2903748,2021-03-29
37.0,296.2903748,2021-03-31
37.0,296.2903748,2021-04-01
37.0,296.2903748,2021-04-02
37.0,296.2903748,2021-04-03
37.0,296.2903748,2021-04-04
37.0,296.2903748,2021-04-07
37.0,296.2903748,2021-04-08
37.0,296.2903748,2021-04-10
37.0,296.2903748,2021-04-11
37.0,296.2903748,2021-04-17
37.0,296.2903748,2021-04-18
39.0,296.2903748,2021-04-19
39.0,296.2903748,2021-04-20
39.0,296.2903748,2021-04-21
41.0,296.2903748,2021-04-23
41.0,296.2903748,2021-04-24
41.0,296.2903748,2021-04-25
41.0,296.2903748,2021-04-26
41.0,296.2903748,2021-04-27
41.0,296.2903748,2021-04-28
41.0,296.2903748,2021-04-29
41.0,296.2903748,2021-04-30
41.0,296.2903748,2021-05-02
42.0,296.2903748,2021-05-04
42.0,296.2903748,2021-05-06
42.0,296.2903748,2021-05-07
43.0,296.2903748,2021-05-08
44.0,296.2903748,2021-05-09
44.0,296.2903748,2021-05-11
44.0,296.2903748,2021-05-12
44.0,296.2903748,2021-05-13
44.0,296.2903748,2021-05-14
44.0,296.2903748,2021-05-15
44.0,296.2903748,2021-05-17
44.0,296.2903748,2021-05-19
44.0,296.2903748,2021-05-20
44.0,296.2903748,2021-05-22
44.0,296.2903748,2021-05-24
44.0,296.2903748,2021-05-25
44.0,296.2903748,2021-05-26
44.0,296.2903748,2021-05-27
44.0,296.2903748,2021-05-28
45.0,296.2903748,2021-05-29
45.0,296.2903748,2021-05-30
45.0,296.2903748,2021-06-02
45.0,296.2903748,2021-06-03
44.0,296.2903748,2021-06-04
44.0,296.2903748,2021-06-08
45.0,296.2903748,2021-06-10
45.0,296.2903748,2021-06-12
45.0,296.2903748,2021-06-15
45.0,296.2903748,2021-06-16
45.0,296.2903748,2021-06-16
45.0,296.2903748,2021-06-16
45.0,296.2903748,2021-06-16
45.0,296.2903748,2021-06-17
44.0,296.2903748,2021-06-18
44.0,296.2903748,2021-06-19
44.0,296.2903748,2021-06-21
44.0,296.2903748,2021-06-23
44.0,296.2903748,2021-06-24
44.0,296.2903748,2021-06-25
44.0,296.2903748,2021-06-26
44.0,296.2903748,2021-06-28
44.0,296.2903748,2021-06-29
46.0,296.2903748,2021-06-30
46.0,296.2903748,2021-07-01
46.0,296.2903748,2021-07-02
46.0,296.2903748,2021-07-03
46.0,296.2903748,2021-07-04
46.0,296.2903748,2021-07-06
46.0,296.2903748,2021-07-07
46.0,296.2903748,2021-07-08
46.0,296.2903748,2021-07-10
48.0,296.2903748,2021-07-11
48.0,296.2903748,2021-07-12
48.0,296.2903748,2021-07-13
48.0,296.2903748,2021-07-14
48.0,296.2903748,2021-07-15
49.0,296.2903748,2021-07-16
49.0,296.2903748,2021-07-17
49.0,296.2903748,2021-07-18
48.0,296.2903748,2021-07-20
48.0,296.2903748,2021-07-21
49.0,296.2903748,2021-07-22
49.0,296.2903748,2021-07-23
50.0,296.2903748,2021-07-25
50.0,296.2903748,2021-07-26
50.0,296.2903748,2021-07-28
50.0,296.2903748,2021-07-29
51.0,296.2903748,2021-07-30
51.0,296.2903748,2021-07-31
51.0,296.2903748,2021-08-01
51.0,296.2903748,2021-08-02
51.0,296.2903748,2021-08-03
51.0,296.2903748,2021-08-04
51.0,296.2903748,2021-08-05
51.0,296.2903748,2021-08-07
51.0,296.2903748,2021-08-08
51.0,296.2903748,2021-08-09
51.0,296.2903748,2021-08-10
51.0,296.2903748,2021-08-11
51.0,296.2903748,2021-08-12
51.0,296.2903748,2021-08-13
51.0,296.2903748,2021-08-14
51.0,296.2903748,2021-08-15
52.0,296.2903748,2021-08-16
52.0,296.2903748,2021-08-17
52.0,296.2903748,2021-08-18
52.0,296.2903748,2021-08-19
52.0,296.2903748,2021-08-20
52.0,296.2903748,2021-08-21
52.0,296.2903748,2021-08-23
52.0,296.2903748,2021-08-24
52.0,296.2903748,2021-08-25
52.0,296.2903748,2021-08-26
52.0,296.2903748,2021-08-27
52.0,296.2903748,2021-08-30
52.0,296.2903748,2021-08-31
52.0,296.2903748,2021-09-01
52.0,296.2903748,2021-09-02
52.0,296.2903748,2021-09-03
54.0,296.2903748,2021-09-04
54.0,296.2903748,2021-09-06
54.0,296.2903748,2021-09-07
54.0,296.2903748,2021-09-08
54.0,296.2903748,2021-09-09
55.0,296.2903748,2021-09-10
55.0,296.2903748,2021-09-11
58.0,296.2903748,2021-09-12
58.0,296.2903748,2021-09-13
58.0,296.2903748,2021-09-15
58.0,296.2903748,2021-09-16
59.0,296.2903748,2021-09-17
59.0,296.2903748,2021-09-18
59.0,296.2903748,2021-09-20
59.0,296.2903748,2021-09-21
59.0,296.2903748,2021-09-22
59.0,296.2903748,2021-09-23
59.0,296.2903748,2021-09-24
61.0,296.2903748,2021-09-25
61.0,296.2903748,2021-09-26
61.0,296.2903748,2021-09-27
61.0,296.2903748,2021-09-30
61.0,296.2903748,2021-10-01
61.0,296.2903748,2021-10-03
61.0,296.2903748,2021-10-04
61.0,296.2903748,2021-10-06
61.0,296.2903748,2021-10-07
61.0,296.2903748,2021-10-08
61.0,296.2903748,2021-10-10
61.0,296.2903748,2021-10-12
