Price,Date
59.0,2022-11-29
59.0,2022-12-01
59.0,2022-12-02
59.0,2022-12-07
59.0,2022-12-08
59.0,2022-12-12
59.0,2022-12-13
59.0,2022-12-17
58.0,2022-12-20
58.0,2022-12-22
58.0,2022-12-23
57.0,2022-12-28
57.0,2022-12-30
57.0,2023-01-02
57.0,2023-01-03
57.0,2023-01-05
56.0,2023-01-06
56.0,2023-01-07
55.0,2023-01-09
55.0,2023-01-10
55.0,2023-01-12
55.0,2023-01-13
55.0,2023-01-16
55.0,2023-01-17
55.0,2023-01-18
55.0,2023-01-19
55.0,2023-01-20
55.0,2023-01-21
55.0,2023-01-23
55.0,2023-01-24
55.0,2023-01-25
55.0,2023-01-26
55.0,2023-01-27
55.0,2023-01-28
55.0,2023-01-31
55.0,2023-02-01
55.0,2023-02-02
55.0,2023-02-03
55.0,2023-02-04
55.0,2023-02-05
55.0,2023-02-06
55.0,2023-02-07
55.0,2023-02-08
55.0,2023-02-09
55.0,2023-02-11
55.0,2023-02-12
55.0,2023-02-13
55.0,2023-02-14
55.0,2023-02-16
55.0,2023-02-17
55.0,2023-02-18
57.0,2023-02-21
57.0,2023-02-22
57.0,2023-02-23
57.0,2023-02-24
57.0,2023-02-25
57.0,2023-02-26
57.0,2023-03-01
57.0,2023-03-02
57.0,2023-03-03
57.0,2023-03-04
57.0,2023-03-05
57.0,2023-03-07
57.0,2023-03-08
57.0,2023-03-09
57.0,2023-03-10
57.0,2023-03-11
56.0,2023-03-13
56.0,2023-03-14
56.0,2023-03-15
56.0,2023-03-16
56.0,2023-03-17
56.0,2023-03-18
56.0,2023-03-19
55.0,2023-03-21
55.0,2023-03-23
55.0,2023-03-24
55.0,2023-03-25
55.0,2023-03-26
55.0,2023-03-28
56.0,2023-03-29
56.0,2023-03-30
56.0,2023-03-31
56.0,2023-04-01
56.0,2023-04-03
56.0,2023-04-04
56.0,2023-04-05
56.0,2023-04-06
56.0,2023-04-07
55.0,2023-04-08
55.0,2023-04-09
55.0,2023-04-11
55.0,2023-04-17
55.0,2023-04-20
57.0,2023-04-21
58.0,2023-04-22
58.0,2023-04-24
58.0,2023-04-25
58.0,2023-04-26
58.0,2023-04-27
58.0,2023-04-29
58.0,2023-04-30
58.0,2023-05-02
58.0,2023-05-03
58.0,2023-05-04
58.0,2023-05-05
58.0,2023-05-06
57.0,2023-05-10
57.0,2023-05-11
57.0,2023-05-12
57.0,2023-05-13
57.0,2023-05-16
57.0,2023-05-17
57.0,2023-05-18
57.0,2023-05-22
57.0,2023-05-24
57.0,2023-05-25
57.0,2023-05-27
57.0,2023-05-28
57.0,2023-05-29
57.0,2023-05-30
57.0,2023-05-31
57.0,2023-06-01
57.0,2023-06-03
57.0,2023-06-04
57.0,2023-06-06
57.0,2023-06-07
57.0,2023-06-08
