Date,Price,Open,High,Low,Vol.,Change %
07/25/2022,"1,560.31","1,553.70","1,563.27","1,548.10",18.21B,0.49%
07/22/2022,"1,552.73","1,551.20","1,556.26","1,541.97",19.22B,0.42%
07/21/2022,"1,546.31","1,538.40","1,547.83","1,535.51",18.70B,0.45%
07/20/2022,"1,539.32","1,542.59","1,545.25","1,535.52",18.17B,0.38%
07/19/2022,"1,533.43","1,540.42","1,541.55","1,520.77",18.03B,-0.74%
07/18/2022,"1,544.81","1,539.13","1,546.29","1,535.81",16.02B,0.75%
07/15/2022,"1,533.37","1,538.76","1,539.96","1,517.51",20.25B,-0.22%
07/14/2022,"1,536.82","1,543.40","1,550.33","1,532.08",18.71B,-0.65%
07/12/2022,"1,546.80","1,553.83","1,556.90","1,542.95",16.79B,-0.68%
07/11/2022,"1,557.40","1,556.01","1,560.01","1,548.87",15.00B,-0.03%
07/08/2022,"1,557.87","1,568.60","1,569.48","1,554.26",18.40B,-0.29%
07/07/2022,"1,562.37","1,545.33","1,563.65","1,542.75",19.08B,1.33%
07/06/2022,"1,541.79","1,539.65","1,546.84","1,530.43",22.72B,0.03%
07/05/2022,"1,541.30","1,566.51","1,569.96","1,539.32",21.99B,-1.22%
07/04/2022,"1,560.27","1,575.03","1,577.10","1,559.64",18.96B,-0.79%
07/01/2022,"1,572.67","1,571.19","1,575.77","1,563.39",14.99B,0.28%
06/30/2022,"1,568.33","1,587.82","1,591.23","1,564.82",20.89B,-1.13%
06/29/2022,"1,586.18","1,588.03","1,590.05","1,582.52",18.56B,-0.52%
06/28/2022,"1,594.47","1,580.68","1,596.27","1,576.75",20.03B,0.90%
06/27/2022,"1,580.20","1,577.89","1,584.05","1,575.29",18.80B,0.73%
06/24/2022,"1,568.76","1,567.14","1,570.62","1,559.74",17.72B,0.72%
06/23/2022,"1,557.61","1,564.21","1,565.53","1,555.52",20.65B,-0.15%
06/22/2022,"1,560.02","1,571.35","1,572.66","1,551.42",21.19B,-0.92%
06/21/2022,"1,574.52","1,568.63","1,576.05","1,563.14",18.17B,0.98%
06/20/2022,"1,559.21","1,554.84","1,563.97","1,549.98",17.76B,-0.01%
06/17/2022,"1,559.39","1,553.07","1,567.82","1,544.26",24.54B,-0.11%
06/16/2022,"1,561.10","1,604.73","1,607.19","1,560.94",25.52B,-2.04%
06/15/2022,"1,593.54","1,605.54","1,606.31","1,589.28",20.18B,-0.59%
06/14/2022,"1,603.03","1,597.17","1,605.53","1,590.75",19.92B,0.19%
06/13/2022,"1,600.06","1,611.84","1,616.31","1,599.34",20.53B,-1.99%
06/10/2022,"1,632.62","1,637.36","1,640.86","1,631.43",18.74B,-0.53%
06/09/2022,"1,641.34","1,637.53","1,646.44","1,636.20",23.56B,0.27%
06/08/2022,"1,636.89","1,639.10","1,641.08","1,631.12",17.89B,0.30%
06/07/2022,"1,631.92","1,644.22","1,645.41","1,630.37",19.66B,-0.86%
06/06/2022,"1,646.08","1,650.41","1,652.11","1,636.08",18.68B,-0.10%
06/02/2022,"1,647.67","1,657.01","1,658.05","1,645.89",17.43B,-0.74%
06/01/2022,"1,660.01","1,662.32","1,664.90","1,655.80",20.84B,-0.20%
05/31/2022,"1,663.41","1,654.27","1,663.52","1,649.60",20.44B,0.59%
05/30/2022,"1,653.61","1,649.51","1,656.54","1,646.95",20.22B,0.91%
05/27/2022,"1,638.75","1,643.18","1,646.37","1,632.66",22.71B,0.31%
05/26/2022,"1,633.73","1,630.53","1,636.02","1,629.31",20.78B,0.53%
05/25/2022,"1,625.18","1,632.12","1,640.69","1,624.03",22.68B,-0.06%
05/24/2022,"1,626.23","1,636.12","1,636.97","1,625.93",20.33B,-0.55%
05/23/2022,"1,635.28","1,627.71","1,635.35","1,623.60",20.39B,0.76%
05/20/2022,"1,622.95","1,618.92","1,626.16","1,616.46",21.20B,1.06%
05/19/2022,"1,605.98","1,595.43","1,611.67","1,592.10",20.99B,-0.89%
05/18/2022,"1,620.33","1,617.70","1,622.17","1,607.31",22.16B,0.36%
05/17/2022,"1,614.49","1,595.60","1,615.48","1,590.96",23.12B,1.90%
05/13/2022,"1,584.38","1,592.47","1,597.58","1,578.11",22.38B,-0.01%
05/12/2022,"1,584.52","1,607.28","1,607.88","1,580.10",25.34B,-1.79%
05/11/2022,"1,613.34","1,621.35","1,622.70","1,604.30",23.11B,-0.58%
05/10/2022,"1,622.78","1,599.98","1,622.82","1,592.64",24.36B,1.14%
05/09/2022,"1,604.49","1,623.71","1,624.26","1,604.06",19.77B,-1.54%
05/06/2022,"1,629.58","1,626.08","1,634.65","1,617.94",23.54B,-0.83%
05/05/2022,"1,643.30","1,663.25","1,667.12","1,643.17",23.02B,-0.54%
05/03/2022,"1,652.29","1,667.41","1,668.54","1,649.50",21.16B,-0.91%
04/29/2022,"1,667.44","1,667.81","1,673.54","1,666.84",23.65B,-0.02%
04/28/2022,"1,667.74","1,663.14","1,669.04","1,658.47",22.36B,0.35%
04/27/2022,"1,661.89","1,667.45","1,670.22","1,655.25",23.88B,-0.42%
04/26/2022,"1,668.97","1,681.74","1,685.42","1,668.76",25.79B,-0.38%
04/25/2022,"1,675.33","1,677.55","1,683.06","1,672.99",20.90B,-0.90%
04/22/2022,"1,690.59","1,686.26","1,690.59","1,680.86",23.21B,0.00%
04/21/2022,"1,690.55","1,686.31","1,693.97","1,682.65",22.95B,0.61%
04/20/2022,"1,680.35","1,678.50","1,685.90","1,675.58",21.36B,0.28%
04/19/2022,"1,675.62","1,675.26","1,681.75","1,673.91",23.51B,0.45%
